3cpio	0.14.0-1ubuntu1
adduser	3.153ubuntu1
amd64-microcode	3.20251202.1ubuntu2
apparmor	5.0.2-0ubuntu1~26.04.1
apport	2.34.1-0ubuntu0.1
apport-core-dump-handler	2.34.1-0ubuntu0.1
apport-symptoms	0.25build1
appstream	1.1.2-1
apt	3.2.0
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bc	1.07.1-4build1
bcache-tools	1.0.8-5ubuntu1
bind9-dnsutils	1:9.20.24-1ubuntu0.2
bind9-host	1:9.20.24-1ubuntu0.2
bind9-libs:amd64	1:9.20.24-1ubuntu0.2
binutils	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bolt	0.9.10-1
bpfcc-tools	0.35.0+ds-1ubuntu2
bpftool	7.7.0+7.0.0-30.30
bpftrace	0.25.0-1ubuntu1
bsdextrautils	2.41.3-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2
btrfs-progs	6.17.1-1build1
build-essential	12.12ubuntu2.26.04.2
busybox-initramfs	1:1.37.0-7ubuntu1
busybox-static	1:1.37.0-7ubuntu1
bzip2	1.0.8-6build2
ca-certificates	20260601~26.04.1
chrony	4.8-2ubuntu1
cloud-guest-utils	0.33-1build1
cloud-init	26.1-0ubuntu3~26.04.1
cloud-init-base	26.1-0ubuntu3~26.04.1
cloud-initramfs-copymods	0.58ubuntu
cloud-initramfs-dyn-netconf	0.58ubuntu
cmake	4.2.3-2ubuntu2
cmake-data	4.2.3-2ubuntu2
command-not-found	23.04.0build1
console-setup	1.237ubuntu3
console-setup-linux	1.237ubuntu3
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1
cpp-15	15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp	4:15.2.0-5ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
cpu-checker	0.7-1.4build1
crash	9.0.1+~16.3-1ubuntu1
cron	3.0pl1-200ubuntu1
cron-daemon-common	3.0pl1-200ubuntu1
cryptsetup	2:2.8.4-1ubuntu4
cryptsetup-bin	2:2.8.4-1ubuntu4
curl	8.18.0-1ubuntu2.4
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
debconf	1.5.92
debconf-i18n	1.5.92
debianutils	5.23.2build1
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info	1.15
distro-info-data	0.72-0ubuntu0.26.04.1
dmeventd	2:1.02.205-2ubuntu3
dmidecode	3.6-2build1
dmsetup	2:1.02.205-2ubuntu3
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
dracut	110-11
dracut-core	110-11
dracut-install	110-11
dracut-network	110-11
e2fsprogs	1.47.2-3ubuntu4
eatmydata	131-2build1
ed	1.22.4-1
eject	2.41.3-3ubuntu2
ethtool	1:6.19-1
exfatprogs	1.3.2-1
fakeroot	1.37.2-1
fdisk	2.41.3-3ubuntu2
file	1:5.46-5build2
finalrd	9build2
findutils	4.10.0-3build2
fio	3.41-2
firmware-sof-signed	2025.12.2-1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1build1
fonts-lato	2.015-1build1
fonts-lyx	2.5.0-1
fonts-mathjax	2.7.9+dfsg-1build1
fonts-ubuntu-console	0.869+git20240321-0ubuntu2
friendly-recovery	0.2.42build1
ftp	20260211-1
fuse3	3.18.2-1
fwupd	2.1.1-1ubuntu3.1
fwupd-signed	1.55+1.7-1
g++-15	15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++	4:15.2.0-5ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gawk	1:5.3.2-1ubuntu1.1
gcc-15	15.2.0-16ubuntu1
gcc-15-base:amd64	15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base:amd64	16-20260322-1ubuntu1
gcc	4:15.2.0-5ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gdisk	1.0.10-2build1
gettext-base	0.23.2-1
ghp-import	2.1.0-3build1
gir1.2-girepository-3.0:amd64	2.88.0-1
gir1.2-glib-2.0:amd64	2.88.0-1
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1.1
git	1:2.53.0-1ubuntu1
git-lfs	3.7.1-1
git-man	1:2.53.0-1ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
